No. Drawing ,Trench No.,Layer,Piece,Clay Paste,Colour of Wash/Slip,Wash/Slip,Position of Wash/Slip,Chamotte,Inside Quality,Outside Quality,Firing Rate,Rate of Saftly,Inside Painting,Painting Pattern,Colour of Painting,Outside Painting,Painting Pattern,Colour of Painting,Inside Engraving,Outside Engraving,Engraving Pattern,Drawing/Shape,Comparable Site,Phase/Period,Reference 
33,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Tepe Yahya,Period: IVB3 ,"Potts,2001, P: 151, Fig: 5.9.G "
34a,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Tepe Yahya,Period: IVB1 ,"Potts,2001, P: 33, Fig: 6.12.J "
34b,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Bampur,Bampur VI ,"De cardi,1970, P: 317, Fig: 43, NO: 436 "
34c,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Mundigak (AF),Period: IV3 ,"Casal,1961, Fig: 95, NO: 437 "
35,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2 "
36,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 117, Fig: 146, NO: 3 "
37,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Coarse,Medium,Sufficient,Medium,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 3 "
38,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 149, Fig: 199, NO: 5 "
39,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 1 "
40,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 135, Fig: 1796, NO: 5 "
41,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Coarse,Medium,Medium,Sufficient,bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 142, Fig: 187, NO: 10 "
42,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 2 "
43,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 206, NO: 3 "
44,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 1 "
45,S.T.1,S.U 2,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 6 "
46a,S.T.1,S.U 2,Rim-Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 152, Fig: 205, NO: 1 "
46b,S.T.1,S.U 2,Rim-Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Sufficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period: IIIC ,"Didier,2007, P: 185, Fig: 174, NO: 108 "
47a,S.T.1,S.U 2,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Brown,Inside,,Geometric,Drawing,Rud Biaban 2 ,Phase: 3 ,"Biscione,1987, P: 407, Fig: 17  "
47b,S.T.1,S.U 2,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Brown,Inside,,Geometric,Drawing,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 154, Fig: 208, NO: 2"
48,S.T.1,S.U 2,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Medium,,,,,,,,,,,,,
49,S.T.1,S.U 2,Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
50,S.T.1,S.U 2,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 137, Fig: 182, NO: 5 "
51,S.T.1,S.U 2,Base,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
52,S.T.1,S.U 2,Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 136, Fig: 181, NO: 6 "
53,S.T.1,S.U 2,Rim-Base,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 0-1 ,"Biscione,1987, P: 396, Fig: 3, NO: D "
54,S.T.1,S.U 2,Rim,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1 "
55,S.T.1,S.U 2,Rim,Red,Red,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1 "
56,S.T.1,S.U 2,Rim,Dark Red,,,,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 124, Fig: 160 "
57a,S.T.1,S.U 2,Rim,Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 1"
57b,S.T.1,S.U 2,Rim,Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,Shape,Mundigak (AF),Period: IV3,"Casal,1961, Fig: 94, NO: 426"
58,S.T.1,S.U 2,Rim,Dark Red,,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 116, NO: 2 "
59,S.T.1,S.U 2,Rim,Buff,Buff,,,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 95, Fig: 103, NO: 3 "
60,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 107, Fig: 127, NO: 5 "
61,S.T.1,S.U 2,Rim,Red,Dark Red,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 113, Fig: 139, NO: 3 "
62,S.T.1,S.U 2,Rim,Red,Red,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 3 "
63,S.T.1,S.U 2,Rim,Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1 "
64,S.T.1,S.U 2,Rim,Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Tepe Yahya,Period: IVB1 ,"Potts,2001, P: 33, Fig: 6.12.J "
65,S.T.1,S.U 2,Rim,Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3/2 "
66,S.T.1,S.U 2,Rim,Dark Red,,,,Medium-sized,Coarse,Coarse,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5 "
67,S.T.1,S.U 2,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Herbal,Black,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 106, Fig: 124, NO: 5 "
68,S.T.1,S.U 2,Body,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Good,,,,Outside,Geometric,Brown,,,,,,,
69,S.T.1,S.U 2,Base,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Deficient,Medium,,,,,,,,,,,,,
70,S.T.1,S.U 2,Rim,Buff,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,Outside,Geometric,Brown,,,,,,,
71,S.T.1,S.U 2,Rim,Grey,Grey,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 127, Fig: 163 "
72,S.T.1,S.U 2,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Black,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 2 "
73,S.T.1,S.U 2,Rim,Black,Buff,Wash,Inside/Outside,Fine,Coarse,Coarse,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B,"Salvatori, Vidale,1997, P: 133, Fig: 175, NO: 2 "
1,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 5 "
2,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 149, Fig: 198, NO: 5 "
3,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 124, Fig: 160 "
4,S.T.1,S.U 3,Rim,Red,Dark Red,Wash,Inside/Outside,Medium-sized,Medium,Fine,Sufficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 106, Fig: 124, NO: 2 "
5,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Medium,,,,,,,,,,,,,
6,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 135, Fig: 179, NO: 3 "
7,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 108, Fig: 128, NO: 2 "
8,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3 "
9,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 4 "
10,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,Inside,Geometric,Brown,,,,,,,Shape,Miri Qalat (P),Period: IIIb,"Didier,2007, P: 77, Fig: 65, NO: 6"
11,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 141, Fig: 186, NO: 14 "
12,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 4 "
13,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 135, Fig: 179, NO: 5 "
14,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Coarse,Coarse,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5 "
15,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Very Fine,Coarse,Coarse,Deficient,Bad,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 2 "
16,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,Outside,Geometric,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale,1997, P: 101, Fig: 115, NO: 2  "
17,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,,,,,,,,Outside,Geometric,Shape,Tepe Yahya,Period: IVB3,"Potts,2001, P: 151, Fig: 5.9. NO: C"
18,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5 "
19,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 4 "
20,S.T.1,S.U 3,Rim,Dark Red,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1 "
21a,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 151, Fig: 203, NO: 4/3"
21b,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period: IIIC,"Didier,2007, P: 25, Fig: 9, NO: 3"
22,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Deficient,Good,Inside,Geometric,Brown,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 3 "
23,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 2 "
24,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2 "
25a,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6 ,"Salvatori, Vidale,1997, P: 103, Fig: 118, NO: 1"
25b,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Mundigak (AF),Period: IV1,"Casal,1961, Fig: 67, NO: 198"
25c,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Tepe Yahya,Period: IVB1,"Potts,2001, P: 33, Fig: 6.11.B"
26,S.T.1,S.U 3,Rim,Dark Red,Buff,Slip,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 119, Fig: 151, NO: 1 "
27,S.T.1,S.U 3,Rim,Dark Red,Red,Wash,Inside/Outside,Medium-sized,Medium,Medium,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO:1 "
28,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 102, Fig: 117, NO: 2 "
29,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3 "
30,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Very Fine,Medium,Medium,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 196, NO: 5 "
31,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 147, Fig: 194, NO: 1 "
32,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 116, Fig: 144, NO: 3 "
33,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Coarse,Deficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 148, Fig: 197, NO: 3/2 "
34,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Coarse,Coarse,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 123, Fig: 15 "
35a,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 147, Fig: 194, NO: 4 "
35b,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Bampur,Bampur IV ,"De cardi,1970, P: 290, Fig: 24, NO: 212"
36,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5A ,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 3 "
37a,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5A  ,"Salvatori, Vidale,1997, P: 115, Fig: 142, NO: 3  "
37b,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Medium,Medium,Sufficient,Bad,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Drawing,Miri Qalat (P),Period: IIIC,"Didier,2007, P: 96, Fig: 84, NO: D61"
38a,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3,"Salvatori, Vidale,1997, P: 153, Fig: 206, NO: 4 "
38b,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Miri Qalat (P),Period: IIIb,"Didier,2007, P: 78, Fig: 66, NO: 8"
39,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 2 "
40,S.T.1,S.U 3,Rim,Dark Red,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1 "
41,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Coarse,Coarse,Deficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 133, Fig: 175, NO: 1 "
42,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Deficient,Medium,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 147, Fig: 195, NO: 4 "
43,S.T.1,S.U 3,Rim,Black,Buff,Slip,Inside/Outside,Fine,Medium,Medium,Sufficient,Bad,Inside,Geometric,Brown,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 3 "
44,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 4 "
45,S.T.1,S.U 3,Rim,Black,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Bad,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 98, Fig: 109, NO:4 "
46,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1 "
47,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Deficient,Medium,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 1 "
48a,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,Inside,Geometric,Black,Outside,Geometric,Black,,,,Shape,Shahr-i Sokhta,Phase: 4 ,"Salvatori, Vidale,1997, P: 147, Fig: 195, NO: 2"
48b,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Fine,Fine,Fine,Sufficient,Medium,Inside,Geometric,Black,Outside,Geometric,Black,,,,Drawing,Mundigak (AF),Period: IV2," Casal,1961, Fig: 89, NO: 394"
49,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 207, NO: 4/5 "
50,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 3 ,"Salvatori, Vidale,1997, P: 153, Fig: 206, NO: 4 "
51,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 130, Fig: 170, NO: 1 "
52a,S.T.1,S.U 3,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Shahr-i Sokhta,Phase: 5B ,"Salvatori, Vidale,1997, P: 131, Fig: 171, NO: 4/6 "
52b,S.T.1,S.U 3,Rim,Buff,Buff,Slip,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,Outside,Geometric,Brown,,,,Shape,Mundigak (AF),Period: IV1,"Casal,1961, Fig: 82, NO: 296"
53,S.T.1,S.U 3,Rim,Buff,Buff,Wash,Inside/Outside,Medium-sized,Fine,Fine,Sufficient,Good,,,,,,,,,,Shape,Shahr-i Sokhta,Phase: 6,"Salvatori, Vidale,1997, P: 105, Fig: 123, NO: 3 "
